name,city,state,website,services,primary_service,estimated_revenue,employee_count,employee_count_min,employee_count_max,ownership_type,is_pe_backed,key_contact_name,key_contact_title,phone,year_founded,google_rating,confidence_score,data_sources,description
Alexander Clifford - R&D Tax Credit Specialists,,,https://alexanderclifford.co.uk,R&D Tax Credits,R&D Tax Credits,,8,,,,,,,0161 457 8100,,5.0,0.744,google_places; website,"As UK's leading R&D tax credits claims specialists, we maximise the potential of your innovation by creating confident R&D claims that meet HMRC's standards"
ASAM LLP,San Francisco,CA,https://asamllp.com,R&D Tax Credits,R&D Tax Credits,,,,,Franchise,,,,(415) 788-2371,1986,5.0,0.735,google_places; website,"Trusted CPA firm offering tax, assurance, and consulting services in English & Chinese from San Francisco & Sunnyvale."
Distinct Tax Consulting Group,Atlanta,GA,https://distincttax.com,Sales & Use Tax,Sales & Use Tax,,,,,Independent,,,,(770) 742-9136,,5.0,0.735,google_places; website,"Maximize your business savings with Distinct Tax Consulting Group. We provide expert tax strategy, compliance, and wealth preservation."
Flex Tax and Consulting Group,San Francisco,CA,https://flextcg.com,Sales & Use Tax,Sales & Use Tax,,,,,Independent,,,,(510) 822-8484,,4.9,0.735,google_places; website,This is our first year using Flex Tax.Jimmy was able to answer and helped with some of our complicated situations even though the response was a bit slow and... read moreneeded several follow up during tax preparation (it might be due to the busy season) but finally we've got our return filed by April 18 (There's still one issue left that we thought everything could be handled through the tax preparer and it turned out we still need to submit some supporting docs to IRS by ourselves)
"Izella Tax Relief - Tax Relief Settlement | Tax Consulting I Tax Attorney I Tax Planning | San Francisco & Daly City, CA",Daly City,CA,https://irstaxrelief.tax,Sales & Use Tax,Sales & Use Tax,,,,,Franchise,,,,(415) 818-6899,,4.9,0.735,google_places; website,"Izella Tax Relief's offers trusted tax resolution in the Bay Area. Stop garnishments, settle IRS debt, and gain peace of mind with expert help today."
Tax Resolution and Representation LLC,Normandy Park,WA,https://leadmetotaxrelief.com,Sales & Use Tax,Sales & Use Tax,,,,,Corporate-owned,,,,(206) 446-5883,,5.0,0.735,google_places; website,"We will have an initial consultation. If we identify, that Tax Advising and Representation LLC is a good match to resolve your unique IRS Debt situation, you will sign the Engagement Letter, the Power of Attorney, and pay the Retainer. Then we will send you a Questionnaire via  email or text message to fill out."
Total Choice Financial Solutions Group,Atlanta,GA,https://choicefinancialcoaching.org,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,Corporate-owned,,,,(678) 310-5137,,5.0,0.735,google_places; website,"At Total Choice Financial Solutions Group, we believe your financial life deserves more than basic solutions — it deserves strategy, protection, and a refined touch. We deliver high-level financial services crafted with precision, discretion, and an unwavering commitment to excellence."
Advisors Professional Services Inc,Chamblee,GA,https://advisorstaxpro.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(770) 329-3062,,4.9,0.717,google_places; website,"Finance is the field concerned with the management of money and investments. It involves how individuals, businesses, and governments raise,"
Baker Newman Noyes,Boston,MA,https://bnncpa.com,Cost Segregation,Cost Segregation,,,,,,,,,(617) 556-3900,,,0.717,google_places; website,"Baker Newman Noyes (BNN) is a US Top 100-ranked public accounting firm with offices in New England. We specialize in tax, assurance, and advisory services."
CDC Tax Professional & Services Inc.,Chicago,IL,https://cdctaxservices.com/english,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 696-9962,2005,4.7,0.717,google_places; website,Get a new domain name for your startup. Quick and professional service. Seamless domain transfers.
Carter & Company Business Accounting Firm Atlanta CPA,Atlanta,GA,https://cartercompanycpa.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(404) 600-1600,,4.9,0.717,google_places; website,"Leading the Atlanta CPA firm market for over 15 years. Relevance & Results. Business Consulting, Tax & Accounting Services. 404-600-1600."
Cortes Tax Service,San Francisco,CA,https://cortestaxservice.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(415) 641-4292,2006,4.6,0.717,google_places; website,Copyright©2014 Cortes Tax Service. All Rights Reserved.Seattle Web Design ByVerecom
"Cost Segregation Consultants, LLC",Draper,UT,https://costsegconsultants.com,Cost Segregation,Cost Segregation,,,,,,,,,(801) 647-5225,1998,5.0,0.717,google_places; website,Cost Segregation Experts with over 50 years of qualified cost segregation experience. Our studies follow the IRS Audit Techniques Guide.
Costwise Tax and Business Services,Atlanta,GA,https://costwisetaxservices.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(470) 456-1017,,5.0,0.717,google_places; website,"We do taxes right the first time. Knowledge matters, so applied to each person’s tax situation makes the outcome of your return impactful. That’s how we do taxes right, the first time!!!"
Duke Tax,Dallas,TX,https://duke.tax,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(214) 396-6009,,4.9,0.717,google_places; website,The Tax Firm for Content Creators and Small Business Owners
Eleven30 Financial Group,Atlanta,GA,https://eleven30fg.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(470) 851-1148,,5.0,0.717,google_places; website,"At Eleven30 Financial Group, we turn financial confusion into clarity. From tax preparation to personalized financial consulting, we deliver tailored, trustworthy solutions for working professionals, small businesses, and entrepreneurs. Our goal is simple, deliver expert strategy with an elite client experience for every budget and background."
Energy Tax Savers / R&D Tax Savers,Syosset,NY,https://energytaxsavers.com,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(516) 364-2630,,5.0,0.717,google_places; website,"Energy Tax Savers, Inc. is the nation's leading tax firm for energy-related tax savings. From this site you can learn more regarding potential energy tax savings through EPAct 179D."
Jeffrey R. Wolfe Accounting & Tax Services,Evanston,IL,https://jeffreyrwolfeaccountingandtaxservices.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(224) 622-2113,,5.0,0.717,google_places; website,Discover our professional tax accounting services designed to maximize your savings and ensure compliance. Get started with our expert team today!
"John Schachter + Associates, Inc.",Boston,MA,https://johnschachter.com,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(617) 236-1915,1993,5.0,0.717,google_places; website,"Since 1993, John Schachter + Associates has been helping clients make the right financial, tax, and business decisions."
Maven Cost Segregation Tax Advisors,Sterling Heights,MI,https://mavencostseg.com,Cost Segregation,Cost Segregation,,30,11,50,,,,,(970) 575-5556,2023,5.0,0.717,google_places; linkedin; website,Maximize tax savings & boost cash flow with Maven Cost Segregation. Use our free calculator to estimate savings & reduce tax liabilities. Book a consultation.
RND Consulting Inc,Cleveland,OH,https://rndcredits.com,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(440) 519-1905,2004,3.0,0.717,google_places; website,"For more than a decade, RnD Consulting has been helping businesses identify, capture and defend research & development tax credits."
"Research Tax Credits, LLC",Allentown,PA,https://researchtaxcreditsllc.com/about-us,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(484) 232-1076,,,0.717,google_places; website,"works closely with CPAs, attorneys as well as financial, banking and real estate professionals as a resource to help identify opportunities to apply Research & Experimentation/Development Tax Credits, Cost Segregation Studies, Fixed Asset Reviews, 179D/Energy Efficient Building Tax Incentives, Domestic Production Deduction DPAD, the Export Incentive (IC-DISC), LIFO and IPIC LIFO Accounting, Auto Dealer LIFO and the Net Inventory Method for Auto Dealers and Retailers that receive "
Seattle Tax Group LLC,Seattle,WA,https://seattletaxgroup.com,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(206) 333-2610,2005,5.0,0.717,google_places; website,"At Seattle Tax Group, LLC, our Seattle CPA provides effective accounting & tax services to help your business thrive. Call us for an appt. today!
"
TW Tax & Credit Services,Lithonia,GA,https://twtaxcreditservices.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(800) 689-3492,,5.0,0.717,google_places; website,"Business Valuation, Financial Coaching, Credit Coaching, Personal Funding and Business Funding"
Tax Solutions Atlanta USA,Atlanta,GA,https://taxsolutionsatlanta.net,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(678) 214-6296,,3.0,0.717,google_places; website,"Master of Taxation TONY GRANT AND STAFF Former IRS Agent Helping People Solve Tax Problems We help people solve tax problems. As a former IRS agent, I know the"
Taxes David,Doraville,GA,https://taxesdavid.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(770) 717-9888,,4.6,0.717,google_places; website,"Maximizamos su reembolso con la histórica Ley OBBBA. Reclame hasta $12,500 por overtime."
Tony Quach & Co. CPA,San Francisco,CA,https://tonyquach.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(415) 771-1800 ext. 3,,4.9,0.717,google_places; website,"Take a look at our Home page. Tony Quach & Co. CPA is a full service tax, accounting and business consulting firm located in San Francisco, CA."
W.E.D. Tax and Accounting Services Inc,Chicago,IL,https://wedtax.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 626-1040,1988,4.9,0.717,google_places; website,This new and exciting Online Office brings financial services directly into your home or business enabling you to moreactively participate in your financial management.
"W3 Business & Tax Consultants, Inc.",Atlanta,GA,https://warrenlee3.net,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(404) 622-0020,2003,5.0,0.717,google_places; website,"Atlanta, GA based IRS tax examination and collections representation firm. Tax Refunds, Representation, Audits, IRS settlements, Business Planning."
WTS Financial & Lighthouse Tax Service,Stevensville,MD,https://wtsfinancial.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(443) 249-3523,,4.9,0.717,google_places; website,WTS Financial - Tax and Accounting Services offered virtually for every state.
"Wynter Financial Services, Inc.",Atlanta,GA,https://wynterfinancialservice.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(404) 508-5930,,5.0,0.717,google_places; website,"This website exists to provide clients and potential clients with information concerning our firm and our unique, low-pressure approach to personal and professional services. We have an excellent client-retention rate, and we are extremely proud of the high-quality services that our firm provides."
Finvisor,San Francisco,CA,https://finvisor.com/?y_source=1_ndg4ndy0ntktnze1lwxvy2f0aw9ulndlynnpdgu%3d,R&D Tax Credits,R&D Tax Credits,1000000,,,,,,Hassan Co,Founder,(415) 416-6682,,5.0,0.709,google_places; website,"We offer a complete, affordable solution for all your back office and financial needs, including accounting, bookkeeping, compliance, payroll and HR."
TAX ACCOUNTING SERVICES,Chicago,IL,https://windycityaccountingservices.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 755-2748,,4.4,0.699,google_places; website,
W Systems & Trading PC,Atlanta,GA,https://wsprofessionals.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(678) 831-5202,,4.2,0.699,google_places; website,
Walter Shuffain,Boston,MA,https://wsadvisors.com,Cost Segregation,Cost Segregation,,48,,,PE-backed,1,,,(617) 447-2700,,5.0,0.694,google_places; website,"Imagine your ideal with Boston accounting firm Walter Shuffain, serving real estate, health care, private equity, manufacturing/distribution, technology, high net worth, closely held businesses."
Withum,San Francisco,CA,https://withum.com/our-locations/san-francisco-ca/?utm_source=gmb&utm_medium=referral&utm_campaign=san%20francisco,Cost Segregation,Cost Segregation,,9,,,PE-backed,1,,,(415) 434-3744,,5.0,0.694,google_places; website,"Withum's San Francisco, CA office supports businesses across industries with advisory, tax and accounting services."
Block Advisors,San Francisco,CA,https://blockadvisors.com/tax-office-near-me/california/san-francisco/3543/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(415) 431-5331,,4.6,0.654,google_places,
Credit Advisors Council-Credit Repair San Francisco,San Francisco,CA,https://creditadvisorscouncil.com/credit-services/partners/california/san-francisco,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(510) 974-0030,,,0.654,google_places,
H&R Block,Chicago,IL,https://hrblock.com/tax-office-near-me/illinois/chicago/13375/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 384-2656,,4.3,0.654,google_places,
"KBKG - Tax Credits, Incentives, Cost Recovery (Headquarters)",Pasadena,CA,https://kbkg.com,Cost Segregation,Cost Segregation,,,,,,,,,(877) 525-4462,,5.0,0.654,google_places,
Levy Tax & Consulting LLC,Atlanta,GA,https://levycpafirm.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(770) 804-3199,,5.0,0.654,google_places,
RCS Tax Solutions,Redmond,WA,https://rcstax.com,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(425) 341-3449,,4.3,0.654,google_places,
"The Peck Group, LC",Atlanta,GA,https://pecklc.com,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(770) 884-6914,,5.0,0.654,google_places,
VMR Financial Strategies,Chicago,IL,https://vmrtaxservice.com,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 539-2440,,4.5,0.654,google_places,
WDA FINANCIAL,Marietta,GA,https://wdafinancial.org,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(770) 231-0918,,5.0,0.654,google_places,
Windy City Tax Relief,Chicago,IL,https://windycitytaxrelief.com/?utm_source=gbp&utm_medium=google&utm_campaign=click,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(630) 926-2183,,4.9,0.654,google_places,
Burkland Associates,San Francisco,CA,https://burklandassociates.com,R&D Tax Credits,R&D Tax Credits,,3,,,PE-backed,1,,,(415) 651-5319,,4.3,0.649,google_places; website,"Join 800+ startups across the USA that partner with Burkland for outsourced Finance, Accounting, Tax and HR services."
CTS Financial Services Co,Chicago,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 282-3200,,4.7,0.636,google_places,
Cost Seg Advisor - Washington DC / Maryland,Laurel,MD,,Cost Segregation,Cost Segregation,,,,,,,,,(240) 283-7298,,5.0,0.636,google_places,
Equity Finance & Tax Services LLC,Sandy Springs,GA,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(678) 984-7737,,4.8,0.636,google_places,
First Western Tax Services,Chicago,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 293-3910,,5.0,0.636,google_places,
Kelly Tax SF,San Francisco,CA,,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(415) 793-5971,,5.0,0.636,google_places,
Northwest Accounting & Tax Services,Chicago,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 889-9800,,4.3,0.636,google_places,
Otero Income Tax,Chicago,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 471-0928,,4.7,0.636,google_places,
R&D Financial,Campbell,CA,,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(408) 666-4750,,,0.636,google_places,
Rudy Cortes Tax Services,San Francisco,CA,,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(415) 550-2415,,4.3,0.636,google_places,
T&C Financial Services,Alpharetta,GA,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(678) 428-1768,,3.0,0.636,google_places,
Valle's Tax Services,San Francisco,CA,,Sales & Use Tax,Sales & Use Tax,,,,,,,,,(415) 285-6102,,3.7,0.636,google_places,
WBK Accounting Services,Chicago,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 342-7830,,5.0,0.636,google_places,
WFC Financial Services,Arlington Heights,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(847) 590-0666,,5.0,0.636,google_places,
World & Associates Tax Services,Oak Park,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(708) 524-0751,,4.0,0.636,google_places,
Ws Tax Services Co,Chicago,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,(773) 776-8943,,5.0,0.636,google_places,
Dimov Associates,Boston,MA,https://dimovassociates.com/cpa-services-in-boston/?utm_campaign=gmb,,,,16,51,200,,,George Dimov,CEO,(833) 829-1120,,4.8,0.635,google_places; website; linkedin,"Dimov Associates offers expert CPA services in Boston, including tax 
planning, accounting, and consulting to help businesses and individuals 
succeed."
CohnReznick LLP,Boston,MA,https://cohnreznick.com,R&D Tax Credits,R&D Tax Credits,,,,,PE-backed,1,,,(617) 648-1400,2022,,0.63,google_places; website,"Discover CohnReznick: Advisory, assurance & tax services. Industry-focused solutions to help you optimize performance, maximize value & manage risk."
EisnerAmper,Boston,MA,https://eisneramper.com,Cost Segregation,Cost Segregation,,,,,PE-backed,1,,,(617) 227-6161,,4.0,0.63,google_places; website,"EisnerAmper provides assurance, tax, advisory, and outsourcing solutions tailored to businesses and high-net-worth individuals across industries."
EisnerAmper,Philadelphia,PA,https://eisneramper.com,Cost Segregation,Cost Segregation,,,,,PE-backed,1,,,(215) 881-8800,,2.6,0.63,google_places; website,"EisnerAmper provides assurance, tax, advisory, and outsourcing solutions tailored to businesses and high-net-worth individuals across industries."
RDT Tax Services,San Leandro,CA,,R&D Tax Credits,R&D Tax Credits,,,,,,,,,,,5.0,0.618,google_places,
Tax World Accounting & Financial Services,Chicago,IL,,Work Opportunity Tax Credits,Work Opportunity Tax Credits,,,,,,,,,,,,0.618,google_places,
Baystate Advisors,Boston,MA,https://baystateadvisorsgroup.com,,,,6,2,10,,,,,(617) 302-6402,2019,5.0,0.617,google_places; website; linkedin,"Baystate Advisors Group LLC focuses on improving and maintaining your organization's financial health and well-being. Based in Boston, we are more than an accounting firm. We are a partner in your profitability and growth. Through our business advisory services, we work closely with your team to plan for growth, improve your profits and build a financially sound business with stability and clarity."
"HAAS CPA, PLLC",Seattle,WA,https://haascpas.com,,,,6,2,10,,,,,(206) 202-7879,2023,4.8,0.617,google_places; website; linkedin,"Need an accountant in Seattle? At HAAS CPA, PLLC, we provide individuals and businesses with accounting services like tax planning. Call today! "
LUO CPA PLLC,New York,NY,https://luocpapllc.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,,,,6,2,10,,,,,(646) 216-9191,2017,4.9,0.617,google_places; website; linkedin,"Luo CPA PLLC in Manhattan, NY, offers extensive accounting services for businesses and individuals. From bookkeeping to tax preparation, call today!
"
"Al Freideman, CPA | Tax & Accounting Firm",Dallas,TX,https://agfreideman.com/?utm_campaign=gmb,,,,7,,,Franchise,,,,(972) 893-3481,,5.0,0.587,google_places; website,
Francis & Company,Seattle,WA,https://francis-company.com/?y_source=1_mte1nja2ndgtnze1lwxvy2f0aw9ulndlynnpdgu%3d,,,,8,,,,,,,(206) 282-3720,,4.8,0.587,google_places; website,"We are a quality oriented, client centered professional service firm, providing accounting, tax, management consulting, and auditing services to our clients across King County and the Puget Sound. Our relationships with our clients are reliant on honesty, trust, mutual benefit, and respect.
At Francis & Company, our professionals perform a variety of roles as professional auditors and accountants. Our team of experts in accounting, auditing, tax preparation, technology, and project management w"
Johan Tax & Accounting LLC,New York,NY,https://johantaxcpa.com,,,,100,,,,,,,(718) 998-2386,,5.0,0.587,google_places; website,"Keep your finances in order with Johan Tax & Accounting LLC, a certified public accountant in New York, NY. From bookkeeping to payroll and financial consulting, our team will handle it all."
Kim Yeung Ling P.C.,Philadelphia,PA,https://kimlingcpa.net,,,,5,,,,,,,(215) 922-2684,1982,4.5,0.587,google_places; website,"Kim Yeung Ling P.C.'s Philadelphia-based CPAs offer business & tax consultations, financial statement preparations, foreign income/assets reporting, payroll & accounting services, corporation formation and bookkeeping services in English, Mandarin, Cantonese, and Vietnamese."
Priority Tax Relief,San Francisco,CA,https://prioritytaxrelief.com,,,,30,,,,,,,(800) 493-8308,,4.9,0.587,google_places; website,Priority Tax Relief Has Been Solving Tax Issues with 20 Years of Expertise - A+ Rated BBB Service You Can Rely On!
Blais Halpert Tax Partners LLP,Boston,MA,https://blaistaxlaw.com,,,400000000,3000,1001,5000,PE-backed,1,,,(617) 918-7080,,,0.579,google_places; website; linkedin,"Blais Halpert is a leading Boston business tax law firm: private equity, 
real estate, international tax issues and more. You can rely on our 
corporate tax law experience and expertise."
"Dan Jefferson Tax and Financial Consulting, Inc.",Dallas,TX,https://danjeffersonpc.com,,,,,,,Franchise,,,,(214) 941-6657,,3.7,0.542,google_places; website,"Take a look at our Home page. Dan Jefferson Tax and Financial Consulting, Inc. is a full service tax, accounting and business consulting firm located in Dallas, TX."
H & M Tax Group,Dallas,TX,https://hmtaxgroup.com,,,,,,,,,Mohammad Mousa,CEO,(469) 498-8000,,5.0,0.542,google_places; website,"H&M Tax Group provides expert tax preparation, IRS resolution, and accounting services for businesses and individuals in Dallas, TX. Schedule your free consultation today."
Hajiani CPA LLC,Boston,MA,https://alamircpa.com,,,,,,,Franchise,,,,(617) 510-5786,,4.8,0.542,google_places; website,"Our Accounting and Tax firm is one of the leading firms in the area. By Combining our Accounting and Tax expertise, experience and the energy of our consultant, each client receives close personal and professional attention."
IRSProb.com,Dallas,TX,https://irsprob.com,,,,3,,,,,,,(214) 214-3333,,5.0,0.542,google_places; website,Get expert tax relief services in Texas. Resolve IRS problems & reduce tax debt. Call 866-861-4443 for professional help today.
"Keystone Tax Service, Inc",Philadelphia,PA,https://keystonetax.com,,,,4,,,,,,,(215) 676-7666,1995,4.6,0.542,google_places; website,Every year we serve thousands of clients and yoursatisfaction and peace of mind is always our goal.
Presti & Naegele Accounting and Advisory Services,New York,NY,https://pntax.com,,,,,,,Franchise,,,,(212) 736-0055,1982,4.8,0.542,google_places; website,Top-tier accounting and advisory firm. Personalized business solutions for all industries. Schedule a consultation with Presti & Naegele today!
SST Accountants & Consultants,Dallas,TX,https://sst.cpa,,,,,,,,,Partner View,CEO,(972) 392-1143,1986,3.7,0.542,google_places; website,"SST Accountants & Consultants (SST) is an integrated, Dallas-based firm with a national reach, providing audit, tax, outsourced accounting and business advisory services across various areas of specialization."
"Safe Harbor, CPA and Accountants",San Francisco,CA,https://safeharborcpa.com,,,,,,,Franchise,,,,(415) 742-4249,,3.8,0.542,google_places; website,"Explore the services of a top-rated CPA firm in San Francisco, California. Our team of best-in-class accountants focuses on tax return preparation, business financial advice, and even expat tax returns and international tax issues. We work both in the San Francisco Bay Area and online, and offer consultations over the Internet. We also offer audited financial statements and bookkeeping."
"Scott Porter, CPA",San Francisco,CA,https://baycpafirm.com,,,,,,,Family-owned,,,,(415) 769-4353,,5.0,0.542,google_places; website,"Accounting, bookkeeping and tax services from San Francisco, CA Scott Porter, CPA, Scott Porter, CPA. Free consultation."
"Spina McCarthy & Company, LLC",Philadelphia,PA,https://spinacpa.com,,,,,,,Family-owned,,,,(215) 235-5015,,4.1,0.542,google_places; website,Spina McCarthy & Company has over 40+ years of experience in offering tax and real estate consulting services. Get a free consultation today.
Steve Rabin CPA,San Francisco,CA,https://taxservice2u.com,,,,,,,Franchise,,,,(415) 969-3414,2005,5.0,0.542,google_places; website,"Our firm assists individuals and businesses with complex tax situations. We are back tax experts, call today!"
"Timur Knyazev, CPA",New York,NY,https://tk.cpa,,,,1,,,,,,,(212) 316-9944,2015,4.9,0.542,google_places; website; linkedin,"Best CPA in Little Italy, SoHo & Tribeca, NYC, USA. Top Ranked Manhattan CPA. New York's High-End International Tax Boutique. Trust. Quality. Results."
